Date;Open;High;Low;Close;Adj Close;Volume;rt;(rt-rtbar)^2;;;;;;
14/09/2017;75.000.000;75.489.998;74.519.997;74.769.997;73.728.958;15733900;-0.005867493;5.2918E-05;;;;;;
15/09/2017;74.830.002;75.389.999;74.070.000;75.309.998;74.261.444;38578400;0.007196207;3.35151E-05;;;;;;
18/09/2017;75.230.003;75.970.001;75.040.001;75.160.004;74.113.541;23307000;-0.001993674;1.15645E-05;;;;;;
19/09/2017;75.209.999;75.709.999;75.010.002;75.440.002;74.389.633;16093300;0.003718437;5.34282E-06;;;;;;
20/09/2017;75.349.998;75.550.003;74.309.998;74.940.002;73.896.599;21587900;-0.006649845;6.49125E-05;;;;;;
21/09/2017;75.110.001;75.239.998;74.110.001;74.209.999;73.176.758;19186100;-0.009788922;0.000125348;;;;;;
22/09/2017;73.989.998;74.510.002;73.849.998;74.410.004;73.373.978;14111400;0.002691497;1.64998E-06;;;;;;
25/09/2017;74.089.996;74.250.000;72.919.998;73.260.002;72.239.983;24149200;-0.015575611;0.000288408;;;;;;
26/09/2017;73.669.998;73.809.998;72.989.998;73.260.002;72.239.983;18019600;0;1.9796E-06;;;;;;
27/09/2017;73.550.003;74.169.998;73.169.998;73.849.998;72.821.770;19565100;0.008021197;4.37478E-05;;;;;;
28/09/2017;73.540.001;73.970.001;73.309.998;73.870.003;72.841.492;10883800;0.00027085;1.2908E-06;;;;;;
29/09/2017;73.940.002;74.540.001;73.879.997;74.489.998;73.452.858;17079100;0.008358029;4.8317E-05;;;;;;
02/10/2017;74.709.999;75.010.002;74.300.003;74.610.001;73.571.190;15304800;0.001609699;4.10936E-08;;;;;;
03/10/2017;74.669.998;74.879.997;74.190.002;74.260.002;73.226.067;12190400;-0.004702084;3.73207E-05;;;;;;
04/10/2017;74.089.996;74.720.001;73.709.999;74.690.002;73.650.078;13317700;0.005773765;1.90688E-05;;;;;;
05/10/2017;75.220.001;76.120.003;74.959.999;75.970.001;74.912.254;21195300;0.016992298;0.000242902;;;;;;
06/10/2017;75.669.998;76.029.999;75.540.001;76.000.000;74.941.841;13959800;0.000394802;1.02451E-06;;;;;;
09/10/2017;75.970.001;76.550.003;75.860.001;76.290.001;75.227.798;11386500;0.003808541;5.76748E-06;;;;;;
10/10/2017;76.330.002;76.629.997;76.139.999;76.290.001;75.227.798;13944500;0;1.9796E-06;;;;;;
11/10/2017;76.360.001;76.459.999;75.949.997;76.419.998;75.355.988;15388900;0.001702535;8.73508E-08;;;;;;
12/10/2017;76.489.998;77.290.001;76.370.003;77.120.003;76.046.249;16876500;0.009118273;5.9464E-05;;;;;;
13/10/2017;77.589.996;77.870.003;77.290.001;77.489.998;76.411.095;15335700;0.004786181;1.1419E-05;;;;;;
16/10/2017;77.419.998;77.809.998;77.349.998;77.650.002;76.568.863;12380100;0.002062705;4.29972E-07;;;;;;
17/10/2017;77.470.001;77.620.003;77.250.000;77.589.996;76.509.697;16824000;-0.000773074;4.75265E-06;;;;;;
18/10/2017;77.669.998;77.849.998;77.370.003;77.610.001;76.529.427;13300700;0.000257796;1.32063E-06;;;;;;
19/10/2017;77.570.000;77.930.000;77.349.998;77.910.004;76.825.249;15092800;0.003858068;6.00782E-06;;;;;;
20/10/2017;78.320.000;78.970.001;78.220.001;78.809.998;77.712.708;22866400;0.011485501;0.000101577;;;;;;
23/10/2017;78.989.998;79.339.996;78.760.002;78.830.002;77.732.437;20627200;0.000253793;1.32985E-06;;;;;;
24/10/2017;78.900.002;79.199.997;78.459.999;78.860.001;77.762.024;17517200;0.000380481;1.05371E-06;;;;;;
25/10/2017;78.580.002;79.099.998;78.010.002;78.629.997;77.535.217;20410800;-0.002920873;1.87303E-05;;;;;;
26/10/2017;79.199.997;79.419.998;78.750.000;78.760.002;77.663.406;32120700;0.001652011;6.00389E-08;;;;;;
27/10/2017;84.370.003;86.199.997;83.610.001;83.809.998;82.643.105;71066700;0.062147029;0.003689353;;;;;;
30/10/2017;83.699.997;84.330.002;83.110.001;83.889.999;82.721.985;31756700;0.000954097;2.05106E-07;;;;;;
31/10/2017;84.360.001;84.360.001;83.110.001;83.180.000;82.021.866;27086600;-0.008499471;9.81378E-05;;;;;;
01/11/2017;83.680.000;83.760.002;82.879.997;83.180.000;82.021.866;22307400;0;1.9796E-06;;;;;;
02/11/2017;83.349.998;84.459.999;83.120.003;84.050.003;82.879.761;23992900;0.010404961;8.09636E-05;;;;;;
03/11/2017;84.080.002;84.540.001;83.400.002;84.139.999;82.968.498;17633500;0.001070171;1.13442E-07;;;;;;
06/11/2017;84.199.997;84.699.997;84.080.002;84.470.001;83.293.907;19860900;0.003914387;6.28708E-06;;;;;;
07/11/2017;84.769.997;84.900.002;83.930.000;84.269.997;83.096.687;17939700;-0.002370559;1.42698E-05;;;;;;
08/11/2017;84.139.999;84.610.001;83.830.002;84.559.998;83.382.652;18034200;0.003435424;4.11457E-06;;;;;;
09/11/2017;84.110.001;84.269.997;82.900.002;84.089.996;82.919.197;21178400;-0.005573712;4.87301E-05;;;;;;
10/11/2017;83.790.001;84.099.998;83.230.003;83.870.003;82.702.271;19397800;-0.00261959;1.62133E-05;;;;;;
13/11/2017;83.660.004;83.940.002;83.459.999;83.930.000;82.761.429;14196900;0.000715101;4.787E-07;;;;;;
14/11/2017;83.500.000;84.099.998;82.980.003;84.050.003;82.879.761;18801300;0.001428777;4.75004E-10;;;;;;
15/11/2017;83.470.001;83.690.002;82.690.002;82.980.003;82.235.588;19383100;-0.012812244;0.000202186;;;;;;
16/11/2017;83.099.998;83.419.998;82.940.002;83.199.997;82.453.613;20962800;0.002647661;1.53928E-06;;;;;;
17/11/2017;83.120.003;83.120.003;82.239.998;82.400.002;81.660.789;22079000;-0.009661851;0.000122519;;;;;;
20/11/2017;82.400.002;82.589.996;82.250.000;82.529.999;81.789.627;16315000;0.00157639;2.86989E-08;;;;;;
21/11/2017;82.739.998;83.839.996;82.739.998;83.720.001;82.968.948;21237500;0.014316058;0.000166644;;;;;;
22/11/2017;83.830.002;83.900.002;83.040.001;83.110.001;82.364.426;20553100;-0.007312866;7.60358E-05;;;;;;
24/11/2017;83.010.002;83.430.000;82.779.999;83.260.002;82.513.077;7425600;0.001803222;1.57006E-07;;;;;;
27/11/2017;83.309.998;83.980.003;83.300.003;83.870.003;83.117.607;18265200;0.007299751;3.47247E-05;;;;;;
28/11/2017;84.070.000;85.059.998;84.019.997;84.879.997;84.118.538;21926000;0.011970442;0.000111587;;;;;;
29/11/2017;84.709.999;84.919.998;83.180.000;83.339.996;82.592.354;27381100;-0.018309881;0.000388755;;;;;;
30/11/2017;83.510.002;84.519.997;83.339.996;84.169.998;83.414.909;33054600;0.009909961;7.23006E-05;;;;;;
